Year,Jurisdiction,Stream,Management,Fate,Tonnes
2010,NT,MSW,Landfill,Disposal,35969.0
2010,NT,MSW,Landfill,Energy recovery,7446.0
2010,NT,Total,Landfill,Disposal,43272.0
2010,NT,Total,Landfill,Energy recovery,8958.0
2010,Qld,C&I,Landfill,Disposal,226299.0
2010,Qld,C&I,Landfill,Energy recovery,24724.0
2010,Qld,MSW,Landfill,Disposal,544456.0
2010,Qld,MSW,Landfill,Energy recovery,59484.0
2010,Qld,Total,Landfill,Disposal,770755.0
2010,Qld,Total,Landfill,Energy recovery,84208.0
2010,SA,C&I,Landfill,Disposal,31216.0
2010,SA,C&I,Landfill,Energy recovery,15831.0
2010,SA,MSW,Landfill,Disposal,85192.0
2010,SA,MSW,Landfill,Energy recovery,43206.0
2010,SA,Total,Landfill,Disposal,116408.0
2010,SA,Total,Landfill,Energy recovery,59038.0
2010,SA,Total,Recycling,Recycling,4400.0
2010,Vic,C&I,Landfill,Disposal,223334.0
2010,Vic,C&I,Landfill,Energy recovery,63448.0
2010,Vic,C&I,Recycling,Recycling,22368.0
2010,Vic,MSW,Landfill,Disposal,756405.0
2010,Vic,MSW,Landfill,Energy recovery,214891.0
2010,Vic,Total,Landfill,Disposal,979739.0
2010,Vic,Total,Landfill,Energy recovery,278339.0
2010,Vic,Total,Recycling,Recycling,22368.0
2010,WA,C&I,Landfill,Disposal,196387.0
2010,WA,C&I,Landfill,Energy recovery,28723.0
2010,WA,MSW,Landfill,Disposal,355321.0
2010,WA,MSW,Landfill,Energy recovery,51968.0
2010,WA,Total,Landfill,Disposal,551708.0
2010,WA,Total,Landfill,Energy recovery,80691.0
2010,WA,Total,Recycling,Recycling,14338.0
2009,ACT,C&D,Landfill,Disposal,1025.0
2009,ACT,C&D,Landfill,Energy recovery,450.0
2009,ACT,C&I,Landfill,Disposal,6585.0
2009,ACT,C&I,Landfill,Energy recovery,2891.0
2009,ACT,MSW,Landfill,Disposal,18918.0
2009,ACT,MSW,Landfill,Energy recovery,8306.0
2009,ACT,Total,Landfill,Disposal,26528.0
2009,ACT,Total,Landfill,Energy recovery,11647.0
2009,NSW,C&I,Landfill,Disposal,362837.0
2009,NSW,C&I,Landfill,Energy recovery,111573.0
2009,NSW,MSW,Landfill,Disposal,737118.0
2009,NSW,MSW,Landfill,Energy recovery,207690.0
2009,NSW,Total,Landfill,Disposal,1099955.0
2009,NSW,Total,Landfill,Energy recovery,319263.0
2009,NT,C&I,Landfill,Disposal,7228.0
2009,NT,C&I,Landfill,Energy recovery,1887.0
2009,NT,MSW,Landfill,Disposal,35597.0
2009,NT,MSW,Landfill,Energy recovery,9295.0
2009,NT,Total,Landfill,Disposal,42825.0
2009,NT,Total,Landfill,Energy recovery,11182.0
2009,Qld,C&I,Landfill,Disposal,255870.0
2009,Qld,C&I,Landfill,Energy recovery,31812.0
2009,Qld,MSW,Landfill,Disposal,534196.0
2009,Qld,MSW,Landfill,Energy recovery,66416.0
2009,Qld,Total,Landfill,Disposal,790067.0
2009,Qld,Total,Landfill,Energy recovery,98228.0
2009,SA,C&I,Landfill,Disposal,40572.0
2009,SA,C&I,Landfill,Energy recovery,16398.0
2009,SA,MSW,Landfill,Disposal,110695.0
2009,SA,MSW,Landfill,Energy recovery,44740.0
2009,SA,Total,Landfill,Disposal,151267.0
2009,SA,Total,Landfill,Energy recovery,61138.0
2009,SA,Total,Recycling,Recycling,5800.0
2009,Vic,C&I,Landfill,Disposal,227184.0
2009,Vic,C&I,Landfill,Energy recovery,50591.0
2009,Vic,C&I,Recycling,Recycling,31971.0
2009,Vic,MSW,Landfill,Disposal,796741.0
2009,Vic,MSW,Landfill,Energy recovery,177425.0
2009,Vic,Total,Landfill,Disposal,1023925.0
2009,Vic,Total,Landfill,Energy recovery,228017.0
2009,Vic,Total,Recycling,Recycling,31971.0
2009,WA,C&I,Landfill,Disposal,273221.0
2009,WA,C&I,Landfill,Energy recovery,31654.0
2009,WA,MSW,Landfill,Disposal,486322.0
2009,WA,MSW,Landfill,Energy recovery,56342.0
2009,WA,Total,Landfill,Disposal,759544.0
2009,WA,Total,Landfill,Energy recovery,87996.0
2009,WA,Total,Recycling,Recycling,7453.0
2008,ACT,C&D,Landfill,Disposal,725.0
2008,ACT,C&D,Landfill,Energy recovery,318.0
2008,ACT,C&I,Landfill,Disposal,6269.0
2008,ACT,C&I,Landfill,Energy recovery,2753.0
2008,ACT,MSW,Landfill,Disposal,25390.0
2008,ACT,MSW,Landfill,Energy recovery,11147.0
2008,ACT,Total,Landfill,Disposal,32384.0
2008,ACT,Total,Landfill,Energy recovery,14218.0
2008,NSW,C&I,Landfill,Disposal,499164.0
2008,NSW,C&I,Landfill,Energy recovery,113208.0
2008,NSW,MSW,Landfill,Disposal,881687.0
2008,NSW,MSW,Landfill,Energy recovery,199962.0
2008,NSW,Total,Landfill,Disposal,1380851.0
2008,NSW,Total,Landfill,Energy recovery,313170.0
2008,NT,C&I,Landfill,Disposal,7149.0
2008,NT,C&I,Landfill,Energy recovery,1800.0
2008,NT,MSW,Landfill,Disposal,35208.0
2008,NT,MSW,Landfill,Energy recovery,8867.0
2008,NT,Total,Landfill,Disposal,42357.0
2008,NT,Total,Landfill,Energy recovery,10667.0
2008,Qld,C&I,Landfill,Disposal,268854.0
2008,Qld,C&I,Landfill,Energy recovery,28541.0
2008,Qld,MSW,Landfill,Disposal,581878.0
2008,Qld,MSW,Landfill,Energy recovery,61772.0
2008,Qld,Total,Landfill,Disposal,850732.0
2008,Qld,Total,Landfill,Energy recovery,90313.0
2008,SA,C&I,Landfill,Disposal,45535.0
2008,SA,C&I,Landfill,Energy recovery,16511.0
2008,SA,MSW,Landfill,Disposal,124236.0
2008,SA,MSW,Landfill,Energy recovery,45047.0
2008,SA,Total,Landfill,Disposal,169771.0
2008,SA,Total,Landfill,Energy recovery,61558.0
2008,SA,Total,Recycling,Recycling,4820.0
2008,Vic,C&I,Landfill,Disposal,344832.0
2008,Vic,C&I,Landfill,Energy recovery,79873.0
2008,Vic,C&I,Recycling,Recycling,12546.0
2008,Vic,MSW,Landfill,Disposal,646826.0
2008,Vic,MSW,Landfill,Energy recovery,149823.0
2008,Vic,Total,Landfill,Disposal,991658.0
2008,Vic,Total,Landfill,Energy recovery,229695.0
2008,Vic,Total,Recycling,Recycling,12546.0
2008,WA,C&I,Landfill,Disposal,198718.0
2008,WA,C&I,Landfill,Energy recovery,41518.0
2008,WA,MSW,Landfill,Disposal,356499.0
2008,WA,MSW,Landfill,Energy recovery,74483.0
2008,WA,Total,Landfill,Disposal,555217.0
2008,WA,Total,Landfill,Energy recovery,116000.0
2008,WA,Total,Recycling,Recycling,7177.0
2006,ACT,C&D,Landfill,Disposal,513.0
2006,ACT,C&D,Landfill,Energy recovery,275.0
2006,ACT,C&I,Landfill,Disposal,5731.0
2006,ACT,C&I,Landfill,Energy recovery,3070.0
2006,ACT,MSW,Landfill,Disposal,30174.0
2006,ACT,MSW,Landfill,Energy recovery,16161.0
2006,ACT,Total,Landfill,Disposal,36418.0
2006,ACT,Total,Landfill,Energy recovery,19505.0
2006,NSW,C&I,Landfill,Disposal,409897.0
2006,NSW,C&I,Landfill,Energy recovery,111749.0
2006,NSW,MSW,Landfill,Disposal,783637.0
2006,NSW,MSW,Landfill,Energy recovery,213640.0
2006,NSW,Total,Landfill,Disposal,1193534.0
2006,NSW,Total,Landfill,Energy recovery,325389.0
2006,NT,C&I,Landfill,Disposal,12685.0
2006,NT,C&I,Landfill,Energy recovery,1510.0
2006,NT,MSW,Landfill,Disposal,62474.0
2006,NT,MSW,Landfill,Energy recovery,7438.0
2006,NT,Total,Landfill,Disposal,75159.0
2006,NT,Total,Landfill,Energy recovery,8948.0
2006,Qld,C&I,Landfill,Disposal,246950.0
2006,Qld,C&I,Landfill,Energy recovery,35163.0
2006,Qld,MSW,Landfill,Disposal,534472.0
2006,Qld,MSW,Landfill,Energy recovery,76103.0
2006,Qld,Total,Landfill,Disposal,781423.0
2006,Qld,Total,Landfill,Energy recovery,111266.0
2006,SA,C&I,Landfill,Disposal,41243.0
2006,SA,C&I,Landfill,Energy recovery,24045.0
2006,SA,MSW,Landfill,Disposal,114998.0
2006,SA,MSW,Landfill,Energy recovery,67043.0
2006,SA,Total,Landfill,Disposal,156241.0
2006,SA,Total,Landfill,Energy recovery,91088.0
2006,SA,Total,Recycling,Recycling,3981.0
2006,Vic,C&I,Landfill,Disposal,359708.0
2006,Vic,C&I,Landfill,Energy recovery,75398.0
2006,Vic,C&I,Recycling,Recycling,35473.0
2006,Vic,MSW,Landfill,Disposal,699022.0
2006,Vic,MSW,Landfill,Energy recovery,146522.0
2006,Vic,Total,Landfill,Disposal,1058731.0
2006,Vic,Total,Landfill,Energy recovery,221920.0
2006,Vic,Total,Recycling,Recycling,35473.0
2006,WA,C&I,Landfill,Disposal,196668.0
2006,WA,C&I,Landfill,Energy recovery,36813.0
2006,WA,MSW,Landfill,Disposal,351739.0
2006,WA,MSW,Landfill,Energy recovery,65839.0
2006,WA,Total,Landfill,Disposal,548407.0
2006,WA,Total,Landfill,Energy recovery,102652.0
